cell,mark,bw_url,narrowPeak_url
MCF10AT1,CTCF,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE98551&format=file&file=GSE98551%5FMCF10AT1%5FCTCF%5Fpooled%5FFE%2Ebw,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE98551&format=file&file=GSE98551%5FMCF10AT1%5FCTCF%5Fpooled%5Fpeaks%5FpassIDR%2E05%2EnarrowPeak%2Egz
MCF10A,CTCF,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE98551&format=file&file=GSE98551%5FMCF10A%5FCTCF%5Fpooled%5FFE%2Ebw,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE98551&format=file&file=GSE98551%5FMCF10A%5FCTCF%5Fpooled%5Fpeaks%5FpassIDR%2E05%2EnarrowPeak%2Egz
MCF10CA1,CTCF,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE98551&format=file&file=GSE98551%5FMCF10CA1%5FCTCF%5Fpooled%5FFE%2Ebw,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE98551&format=file&file=GSE98551%5FMCF10CA1%5FCTCF%5Fpooled%5Fpeaks%5FpassIDR%2E05%2EnarrowPeak%2Egz
